"lfdn" "external_lfdn" "tester" "dispcode" "lastpage" "quality" "duration" "expectation" "r_experience" "interest_data" "nft_sentiment" "education" "gender" "age" "shoesize" "height" "rent" "browser" "referer" "device_type" "participant_browser" "participant_browser_version" "participant_os" "participant_device" "participant_brand" "participant_model" "participant_isbot" "participant_continent" "participant_country" "participant_region" "participant_city" "participant_latitude" "participant_longitude" "quota" "quota_assignment" "quota_rejected_id" "page_history" "hflip" "vflip" "output_mode" "javascript" "flash" "session_id" "language" "cleaned" "ats" "datetime" "date_of_last_access" "date_of_first_mail" "rts6061026" "rts6061027" "rts6061032" "rts6061033" "rts6061700" "rts6061701"
"1" 2 0 0 31 6061029 0 92 "Ghhfghv" 5 4 "Hjkkhggg" 1 2 27 41 152 NA "Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1" NA 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 "6061026,6061033,6061033,6061033,6061032,6061700,6061701,6061027,6061029" 1 0 0 0 0 "662530dab475036ad53defc822ec4aee" 1 0 1663709805 "2022-09-20 21:36:45" "2022-09-20 21:38:17" "0000-00-00 00:00:00" 13 92 42 24 51 63
"2" 4 0 0 31 6061029 0 137 "test" 3 6 "test" 1 2 40 35 145 3000 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" NA 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 "6061026,6061033,6061032,6061700,6061701,6061027,6061029" 1 0 0 0 0 "f645745e6ae7bbb3240a2141362bae30" 1 0 1663742456 "2022-09-21 06:40:56" "2022-09-21 06:43:13" "0000-00-00 00:00:00" 25 137 58 29 72 95
"3" 11 0 0 31 6061029 0 1482 "- Know more about behavioral science theory (psychology, consumer behavior...) and how to link the tools to the theory  - Hands-on experience with automation process, mobile phones..." 3 5 "not sure if it is really worth it." 1 1 24 45 185 950 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" NA 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 "6061026,6061033,6061032,6061700,6061701,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061029" 1 1 0 0 0 "51c2a594995c5ea7b3251ad70bb26327" 1 0 1663777381 "2022-09-21 16:23:01" "2022-09-21 16:47:43" "0000-00-00 00:00:00" 4 1482 723 703 734 1027
"4" 13 0 0 31 6061029 0 236 "I would like to learn more about the potential impact of artificial intelligence now and in the future. Furthermore, I am interested in getting better at programming in R to apply artificial intelligence methods." 5 6 "I think it's cool to see the blockchain being used in a way to manage the authenticity of items. Nevertheless, I believe the current NFT valuations are a hype and show signs of a bubble." 2 1 22 44 180 750 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15" NA 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 "6061026,6061033,6061032,6061700,6061701,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061029" 0 1 0 0 0 "c81d99be6bdc70dca83acd729b558cb4" 1 0 1663854684 "2022-09-22 13:51:24" "2022-09-22 13:55:20" "0000-00-00 00:00:00" 5 236 88 72 96 175
"5" 14 0 0 31 6061029 0 414 "Gain full proficiency in R in order to potentially use this skill for my master thesis.  Narrow down my choice of the topic for my master thesis.   Getting to know whether working with R and machine learning concepts is a potential career path for me" 2 6 "I personally believe that NFTs are a hype. I would restrain from investing in them. Besides, from their value being based on highly volatile cryptocurrencies I also believe that most of these NFTs are a trend/hype that will fade. What is more, the design of them is extremely hideous.  Nevertheless, I believe that NFTs can be used for other purposes. E.g. to confirm ownership. Ownership of especially ground and housing could be documented using NFTs." 1 1 22 43 185 420 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" NA 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 "6061026,6061033,6061032,6061700,6061701,6061027,6061029" 0 0 0 0 0 "b025fd039dedf43a3a4db2ada140d2cd" 1 0 1663873939 "2022-09-22 19:12:19" "2022-09-22 19:19:13" "0000-00-00 00:00:00" 4 414 223 212 229 389
"6" 17 0 0 31 6061029 0 712 "- expand my coding abilities  - understand the processes behind the AI  black box , esp. for application in link with cellphones.  " 4 6 "There are a commodity just like any other. Just such as art, they are worth a lot because people value them as so. I wouldn't invest in such asset, but I believe their trade should be authorized, just like any other good.  Moreover, these jpgs photos are just part of the possibility that NFTs offer, and other possibilities could prove to be much useful." 2 1 21 43 189 650 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" NA 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 "6061026,6061033,6061032,6061700,6061701,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061029" 0 1 0 0 0 "a17021cab0523076640c05839830b8b7" 1 0 1663964359 "2022-09-23 20:19:19" "2022-09-23 20:31:11" "0000-00-00 00:00:00" 5 712 263 250 269 623
"7" 18 0 0 31 6061029 0 190 "I would like to get to know pitfalls in supervised ML modelling in business settings." 7 7 "They're a great tool for money laundering or losing money that your parents worked cold hard hours for and that was intended for furniture in your first appartment." 2 1 23 44 186 650 "Mozilla/5.0 (Linux; Android 12; SM-A528B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Mobile Safari/537.36" NA 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 "6061026,6061033,6061032,6061700,6061701,6061027,6061029" 0 0 0 0 0 "20b352d292800ed1520a4536798451ac" 1 0 1663966031 "2022-09-23 20:47:11" "2022-09-23 20:50:21" "0000-00-00 00:00:00" 7 190 40 30 47 135
"8" 19 0 0 31 6061029 0 238 "Learn basics of R, learn how artificial intelligence can be utilized to better understand human behaviors and finally try it out in the group project" 1 6 "I do not like NFTs, they seem too virtual, worthless, of no real use. Simply - I would not invest in NFTs." 1 1 22 44 185 400 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15" NA 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 "6061026,6061033,6061032,6061700,6061701,6061027,6061027,6061027,6061027,6061027,6061029" 1 0 0 0 0 "e3f51685689de9eec5d35bb3da9f85e3" 1 0 1663967510 "2022-09-23 21:11:50" "2022-09-23 21:15:48" "0000-00-00 00:00:00" 6 238 93 72 108 158
"9" 20 0 0 31 6061029 0 1116 "Learn R-basics, understand how AI and behavior data relate, the kind of inputs and outputs we need and create,  and how can we use the data to create solutions to various problems or needs. " 1 4 "I do not understand deeply why something like that can work and move so much money.   As an investment, I think it is just based on the expectation of a growing demand. But I do not understand why someone want something as intangible as a virtual paint.   I would like to get to understand the logic behind of NFT´s in this course. " 2 1 23 37 161 480 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" NA 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 "6061026,6061033,6061032,6061700,6061701,6061027,6061029" 0 1 0 0 0 "09b1f612e62f1725790019d39cf1b8b5" 1 0 1664201452 "2022-09-26 14:10:52" "2022-09-26 14:29:28" "0000-00-00 00:00:00" 4 1116 330 315 344 1020
"10" 21 0 0 31 6061029 0 346 "I would love to learn about AI's implications in understanding human psychology and how psychology and sociology interact in this respect. I am also very curious to learn what are the inferences we draw from understanding human behavior and some leads on how I can apply them in both my personal and professional life." 1 5 "I somehow struggle to understand the hype and tend to think it is a bubble that will soon explode. However, I can see the benefits it can have thanks to the intrinsic characteristics of blockchain (protecting IP, better traceability etc.)" 2 2 22 37 162 700 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15" NA 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 "6061026,6061033,6061033,6061033,6061032,6061700,6061701,6061027,6061027,6061027,6061027,6061027,6061029" 1 0 0 0 0 "17ea733b5b4c9d210b79150e929a9bc1" 1 0 1664212873 "2022-09-26 17:21:13" "2022-09-26 17:26:59" "0000-00-00 00:00:00" 5 346 173 166 181 269
"11" 22 0 0 31 6061029 0 832 "I would like to provide examples of how to use AI in different industries and use cases as I feel that AI is sometimes still explained on a very theoretical level without showing how to actually implement it in real case scenario. Furthermore, as I'm writing my master thesis in that field, I'm looking forward to the discussions." 1 4 "Providing scarcity for a certain product and therefore increasing its price due to the higher demand for exclusive goods has been taken to another level in recent years (watches, luxury goods, collector cards). WIth NFTs this can be done fully digitally and it also provides additional advantages (transparency, easier transaction processes etc.). Nowadays NFTs are sometimes regarded as pure investment opportunities. Similar to cryptocurrencies I have some doubts to invest my money in those kind of products as I feel that they don't contain the same underlying value as let's say stocks (a company that actually creates value in some kind of way)" 2 1 26 45 188 630 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" NA 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 "6061026,6061033,6061032,6061700,6061701,6061027,6061027,6061027,6061027,6061027,6061027,6061027,6061029" 1 0 0 0 0 "8437a878ffcc5580b14f5a957afdfec1" 1 0 1664214943 "2022-09-26 17:55:43" "2022-09-26 18:09:35" "0000-00-00 00:00:00" 5 832 284 274 293 719
